Business Name,Sector,Service,Phone Number,Email,Attempted Date,Outreach Status,Outreach Method,Current Website,Location,Address,Notes
Jass auto repair,Automotive,Website Redesign,1-437-376-0663,,,,,https://jassauto.ca/,Brampton,"80 Clearfield Dr, Brampton, ON L6P 3J4",
Baked delights by Simz,Bakery,New Website,1-431-276-3564,,,,,,Brampton,"12 Passfield Trail, Brampton, ON L6P 1V2",
Sohal Beauty House,Beauty,New Website,1-647-533-3207,,,,,,Brampton,"6 Alfredo Ave, Brampton, ON L6P 1K2",
JK Movers,Moving Service,New Website,1-437-329-4080,,,,,,Brampton,"92 Brunetta Way, Brampton, ON L6P 1N2",
Beyond the baseline Stringing,Sports Rentals,New Website,1-416-317-4210,,,,,,Brampton,"83 Zia Dodda Crescent, Brampton, ON L6P 1J4",
JassFilms,Photography,New Website,n/a,,,,,,Brampton,"62 Big Moe Crescent, Brampton, ON L6P 1J8",
Destiny hvac inc.,HVAC Contractor,New Website,1-647-889-8441,,,,,,Brampton,"19 Via Romano Way, Brampton, ON L6P 1K2",
Sweven salon,Beauty,New Website,,,,,,,Brampton,"12 Modesto Crescent care, Brampton, ON L6P 1N4",
Mortgages By Sumit Singh - First-time Home Buyer Mortgage - Private Funding - Quick Mortgage,Accounting,New Website,,,,,,,Brampton,"2 Edgevalley Ct, Brampton, ON L6P 2P8",
Amiri Designs,Fashion,New Website,,,,,,,Brampton,"17 Domenico Crescent, Brampton, ON L6P 1H5",
DrivenByAestheticz,Electronics,New Website,,,,,,https://drivenbyaestheticz.com/,Brampton,"102 Kanashiro St, Brampton, ON L6P 1H3",Expired Shopify domain
Nadeera Silks,Fashion,New Website,,,,,,,Brampton,"11 Edgevalley Ct, Brampton, ON L6P 2P8",
Sparta Mattress Inc.,Mattress,New Website,1-416-817-8835,,,,,,Brampton,"15 Caranci Crescent, Brampton, ON L6P 1H1",
Lifestyle Medi Spa,Beauty,New Website,,,,,,,Brampton,"Angelucci Dr, Brampton, ON L6P 1G8",
Bajwa Films Production,Film Production,New Website,,,,,,,Brampton,"36 Shadyridge Rd, Brampton, ON L6P 1K4",
Aarya Gifts & Fashion,Jewelry ,New Website,,,,,,,Brampton,"89 Thorndale Rd, Brampton, ON L6P 1K4",
1to99vendor,Kitchen Supply,New Website,,,,,,,Brampton,"21 Eastview Gate #8, Brampton, ON L6P 1P6",
House of rooh,Jewelry ,New Website,,,,,,,Brampton,"9430 The Gore Rd, Brampton, ON L6P 4P9",
Veenus beauty salon and spa,Beauty,New Website,,,,,,,Brampton,"182 Thorndale Rd, Brampton, ON L6P 3K8",
SAV TIFFINS,Restaurant,New Website,,,,,,,Brampton,"Toddville Rd, Brampton, ON L6P 3J2",May have closed permanently
Illmaticautoworks,Automotive,New Website,,,,,,,Brampton,"67 River Heights Dr, Brampton, ON L6P 3B7",
Life Renovation,Construction,New Website,,,,,,,Brampton,"81 River Heights Dr, Brampton, ON L6P 3B7",
J&R Window Glass & Door Services,Construction,New Website,,,,,,,Brampton,"41 Riverplace Crescent, Brampton, ON L6P 2N3",
Super Choice Home Renovation,Construction,New Website,,,,,,,Brampton,"15 Trevino Crescent, Brampton, ON L6P 1L9",
NMN Cash For Cars,Automotive,New Website,,,,,,,Brampton,"16 Whitehouse Crescent, Brampton, ON L6P 1M2",
Proflex Athletics,Sports Wholesaler,New Website,,,,,,,Brampton,"34 Violetridge Ct, Brampton, ON L6P 2W4",
Amrose | Beauty & Stitching Studio,Beauty,New Website,,,,,,,Brampton,"54 Alfonso Crescent, Brampton, ON L6P 1S5",
Beautyy Dreamz,Beauty,New Website,,,,,,https://book.squareup.com/appointments/7oljpgfjhv5fbd/location/L28VYNYN189ZW/services/PMEBYOI6LEXY4V22ANB3UX4X.,Brampton,"52 Attview Crescent, Brampton, ON L6P 2R5",They currently have a square booking page but no proper site
Aneri creation jewellery store,Jewelry ,New Website,,,,,,,Brampton,"18 Palleschi Dr, Brampton, ON L6P 2R9",
Glimprint Art & Homedecor,Home Decor,New Website,,,,,,,Brampton,"54 Sea Drifter Cres, Brampton, ON L6P 4B2",
Lastek Art Inc,Sign Shop,New Website,,,,,,,Brampton,"73 Sea Drifter Cres, Brampton, ON L6P 4B1",
Urban Car Customz,Automotive,New Website,,,,,,,Brampton,"100 Sea Drifter Cres, Brampton, ON L6P 2S1",
Dehe Tech Support Inc,Electronics,New Website,,,,,,,Brampton,"2 Osgoode Dr, Brampton, ON L6P 2Z4",
The Journey,Home Decor,New Website,,,,,,,Brampton,"5 Faye St, Brampton, ON L6P 4M9",Almost 0 presence online so could be a dud
Hennabynikki,Beauty,New Website,,,,,,,Brampton,"12 Estelle Gate, Brampton, ON L6P 4M9",
Glam By Sukhy,Beauty,New Website,,,,,,,Brampton,"41 Attview Crescent, Brampton, ON L6P 2R5",not sure if these type of services will benefit from websites
K&S Silvers,Jewelry ,New Website,,,,,,,Brampton,"54 Skyridge Dr, Brampton, ON L6P 4P5",
Exotic Auto: Car Wash and Detailing,Automotive,New Website,,,,,,,Brampton,"18 Moorcroft Pl, Brampton, ON L6P 4P8",
Bright Shades,Blinds,New Website,,,,,,,Brampton,"46 Moorcroft Pl, Brampton, ON L6P 4P7",
QZbeautyOfficial,Beauty,New Website,,,,,,,Vaughan,"Camomile St, Vaughan, ON L4L 8R4",
Henna by Shivi,Beauty,New Website,,,,,,,Woodbridge,"298 Mapes Ave, Woodbridge, ON L4L 8R7",
Bliss Med Spa,Beauty,New Website,,,,,,,Vaughan,"101 Jackman Crescent, Vaughan, ON L4L 6P6",
Ultra Phoenix Shop,Fashion,New Website,,,,,,,Woodbridge,"231 Triton Ave, Woodbridge, ON L4L 6R3",
Mysterious Detailing,Automotive,New Website,,,,,,,Vaughan,"Mobile Detailing Service, Woodbridge Ave, Vaughan, ON L4L5R6",
D & J Automotive,Automotive,New Website,,,,,,,Woodbridge,"8060 Kipling Ave, Woodbridge, ON L4L 0H1",
"Planet Silver Jewellery,piercing & TiNy TaTToo Boutique",Jewelry ,Website Redesign,,,,,,https://www.planetsilver.shop/,Woodbridge,"97 Woodbridge Ave, Woodbridge, ON L4L 2S7",This companies site is down or nonfunctional at the time i checked
Touch of Heart,Event Service,New Website,,,,,,,Woodbridge,"Woodbridge, ON L4L 1H8",
Second To None Painting,Construction,New Website,,,,,,http://www.secondtonone.ca/,Vaughan,"275 Tall Grass Trail, Vaughan, ON L4L 3P7",
Aspec Auto Group,Automotive,New Website,,,,,,,Woodbridge,"20 Hanlan Rd Unit 13, Woodbridge, ON L4L 0B9",
Kitty Nails & Spa,Beauty,New Website,,,,,,,North York,"171 Cabana Dr, North York, ON M9L 1L2",
The History Buff,Film Production,New Website,,,,,,,North York,"21 Cabana Dr, North York, ON M9L 1L1",
Marlee Upholstery,Automotive,New Website,,,,,,,North York,"230 Milvan Dr, North York, ON M9L 2A5",
Premium Auto Repairs,Automotive,New Website,,,,,,http://www.premiumautorepairs.com/,North York,"21 Millwick Dr, North York, ON M9L 1Y4",
iTech Auto Service inc,Automotive,New Website,,,,,,,North York,"9 Millwick Dr, North York, ON M9L 1Y4",
York Flooring Plus Ltd,Construction,Website Redesign,,,,,,https://www.yorkflooringplus.com/,North York,"122 Milvan Dr, North York, ON M9L 1Z9",
Satkar Auto Service & Sales,Automotive,New Website,,,,,,,North York,"66 Milvan Dr, North York, ON M9L 1Z5",
Point Zero Auto Centre Lt,Automotive,Website Redesign,,,,,,http://www.pointzeroauto.com/,North York,"2450 Finch Ave W, North York, ON M9M 2B9",
NA Tire & Lube Inc.,Automotive,New Website,,,,,,,North York,"2450 Finch Ave W #1B, North York, ON M9M 2E9",
Jamaica House,Restaurant,New Website,,,,,,,North York,"2531 Finch Ave W, North York, ON M9M 2G1",They mainly use facebook as their primary source of online presence
LashbyHediyeh,Beauty,New Website,,,,,,,North York,"49 Davelayne Rd, North York, ON M9M 2A6",
Leo Hair Studio,Beauty,New Website,,,,,,,North York,"117 Lanyard Rd, North York, ON M9M 1Y9",
Dini's Ice Cream,Restaurant,New Website,,,,,,https://avelinodini.com/,North York,"61 Lanyard Rd, North York, ON M9M 1Y8",Their existing site is down
Yardys Jerk,Restaurant,New Website,,,,,,http://yardysjerk.com/,North York,"2201 Finch Ave W Unit 3, North York, ON M9M 2Z1",Their existing site is down
Nice And Easy Restaurant And Bar,Restaurant,New Website,,,,,,,North York,"415 Oakdale Rd unit 403, North York, ON M3N 1W7",
Cedars Door Products,Construction,New Website,,,,,,,North York,"420 Eddystone Ave, North York, ON M3N 1H7",
Gala Slacks Ltd,Fashion,New Website,,,,,,,North York,"365 Eddystone Ave, North York, ON M3N 1H8",
German Auto Repair,Automotive,New Website,,,,,,,North York,"229 Oakdale Rd, North York, ON M3N 1W4",
EAGLE CONTRACTING INC,Construction,New Website,,,,,,http://eaglecladding.com/,North York,"2 Jody Ave, North York, ON M3N 1H1",Theier site isnt secure and struggles to load
Trupti Enterprises Inc.,Grocery,Website Redesign,,,,,,https://trupti.ca/,North York,"119 Oakdale Rd, North York, ON M3N 1W2",Existing site is fine the design itself is outdated
Glenfield Heights Car Detailing,Automotive,Website Redesign,,,,,,https://glenfieldheightscardetailing.site/,North York,"135 Lomar Dr, North York, ON M3N 1Z5",Website is horendus on PC seems like it may be designed for mobile though i havent verififed
Absolute Refinishing,Construction,Website Redesign,,,,,,http://absoluterefinishing.ca/,North York,"59 Brewster Crescent, North York, ON M3N 1C7",The site could be designed a lot better
Kesuf Barber,Beauty,New Website,,,,,,http://kescuts56.booksy.com/a/,North York,"80 Laura Rd, North York, ON M3N 1Z6",The site was on booksy but taken down 
TORONTO HD.ROOFING,Construction,New Website,,,,,,http://torontohdroofing.com/,Toronto,"21 Arthur Griffith Dr, Toronto, ON M3L 2J9",
Standard Plumbing LTD,Construction,New Website,,,,,,,North York,"6 Brady Crescent, North York, ON M3L 2B5",
Jenny's Clothing,Fashion,New Website,,,,,,,North York,"2663 Jane St, North York, ON M3L 1S3",
Nads Bless Boutique,Fashion,New Website,,,,,,,Toronto,"1901 Sheppard Ave W, Toronto, ON M3L 1Y4",
TRN Painting,Construction,New Website,,,,,,,North York,"82 Orchardcroft Crescent, North York, ON M3J 1S8",
Hira painting,Construction,New Website,,,,,,,North York,"3460 Keele St, North York, ON M3J 1L9",
Leng Keng Bar & Lounge,Restaurant,New Website,,,,,,http://lengkengbar.com/,North York,"3585 Keele St, North York, ON M3J 3H5",The website doesnt load 
Destan Turkish Cuisine,Restaurant,New Website,,,,,,http://destan.ca/,North York,"3585 Keele St, North York, ON M3J 3H5",The website has been taken offline
Ayasofya SuperMarket,Grocery,Website Redesign,,,,,,https://ayasofyasupermarket.com/,North York,"3372 Keele St, North York, ON M3J 1L5",The site is sloppy
Ottoman Turkish Grill,Restaurant,New Website,,,,,,,North York,"3354 Keele St, North York, ON M3J 1L5",
Prokitchens Inc .,Construction,New Website,,,,,,https://prokitchen2001.wixsite.com/website,North York,"1450 Sheppard Ave W, North York, ON M3M 2X1",Crappy wix site 
Bếp Bà Kim Bakery,Bakery,New Website,,,,,,,North York,"2 Dorado Ct, North York, ON M3M 2E8",
VIP Entertainment Group,Event Service,New Website,,,,,,,North York,"59 Whitburn Crescent, North York, ON M3M 2S5",
Nail and Lash by Bhavika,Beauty,New Website,,,,,,,North York,"2956 Keele St, North York, ON M3M 2H2",
KENNY STAIRS & RAILINGS INC.,Construction,New Website,,,,,,http://kennystairs-railings.com/,North York,"68 Tavistock Rd, North York, ON M3M 2N9",The existing link redirects to facebook
Ride New Auto Mobile Car Detailing North York,Automotive,New Website,,,,,,https://ridenewautocardetailing.shop/,North York,"20 Dorking Crescent, North York, ON M3M 2B6",The existing site cannot be loaded
Downsview Car Detailing,Automotive,Website Redesign,,,,,,https://downsviewcardetailing.site/,North York,"48 Bunnell Crescent, North York, ON M3M 2C1",This and glenfield are the same
R&U construction,Construction,New Website,,,,,,,North York,"593 Roding St, North York, ON M3M 2K3",
Mabelle Baklava,Bakery,New Website,,,,,,,North York,"1110 Wilson Ave, North York, ON M3M 1G7",
Tri- Vent Plumbing Inc.,Construction,New Website,,,,,,,North York,"955 Wilson Ave #17, North York, ON M3K 2A8",
K&K CAP & HAT Wholesale,Fashion,Website Redesign,,,,,,https://knkcaps.com/,Toronto,"289 Bridgeland Ave #101, Toronto, ON M6A 1Z6",This site is poorly designed
Absolute Bakery,Bakery,Website Redesign,,,,,,https://absolutecafe.ca/,Toronto,"589 Parliament St, Toronto, ON M4X 1P8",
Aziz,Construction,New Website,,,,Pending,Social Event,,Toronto,,"Met at Stellar Social Event Jan 23, 2026"
Abraham,Architect,New Website,,,,Rejected,Social Event,,Toronto,,"Met at Stellar Social Event Jan 23, 2026"
